Date,Open,High,Low,Close
03/07/2025,"1.0787","1.0890","1.0782","1.0834"
03/06/2025,"1.0792","1.0854","1.0767","1.0788"
03/05/2025,"1.0624","1.0799","1.0603","1.0790"
03/04/2025,"1.0488","1.0629","1.0472","1.0627"
03/03/2025,"1.0380","1.0506","1.0380","1.0489"
02/28/2025,"1.0401","1.0422","1.0361","1.0378"
02/27/2025,"1.0484","1.0495","1.0397","1.0399"
02/26/2025,"1.0516","1.0528","1.0476","1.0486"
02/25/2025,"1.0468","1.0522","1.0457","1.0515"
02/24/2025,"1.0467","1.0531","1.0454","1.0469"
02/21/2025,"1.0501","1.0508","1.0450","1.0461"
02/20/2025,"1.0425","1.0506","1.0419","1.0503"
02/19/2025,"1.0447","1.0464","1.0402","1.0424"
02/18/2025,"1.0484","1.0489","1.0436","1.0446"
02/17/2025,"1.0498","1.0509","1.0468","1.0486"
02/14/2025,"1.0467","1.0516","1.0448","1.0493"
02/13/2025,"1.0389","1.0469","1.0375","1.0468"
02/12/2025,"1.0362","1.0430","1.0318","1.0384"
02/11/2025,"1.0309","1.0383","1.0292","1.0363"
02/10/2025,"1.0334","1.0339","1.0282","1.0308"
02/07/2025,"1.0386","1.0408","1.0307","1.0330"
02/06/2025,"1.0404","1.0409","1.0354","1.0385"
02/05/2025,"1.0380","1.0443","1.0371","1.0403"
02/04/2025,"1.0344","1.0390","1.0273","1.0381"
02/03/2025,"1.0363","1.0363","1.0209","1.0345"
01/31/2025,"1.0392","1.0435","1.0352","1.0362"
01/30/2025,"1.0420","1.0469","1.0388","1.0393"
01/29/2025,"1.0433","1.0446","1.0384","1.0423"
01/28/2025,"1.0494","1.0497","1.0415","1.0432"
01/27/2025,"1.0506","1.0533","1.0455","1.0493"
01/24/2025,"1.0419","1.0523","1.0413","1.0504"
01/23/2025,"1.0412","1.0441","1.0378","1.0418"
01/22/2025,"1.0434","1.0459","1.0395","1.0410"
01/21/2025,"1.0416","1.0437","1.0343","1.0430"
01/20/2025,"1.0306","1.0435","1.0267","1.0418"
01/17/2025,"1.0301","1.0332","1.0263","1.0276"
01/16/2025,"1.0290","1.0318","1.0263","1.0303"
01/15/2025,"1.0310","1.0353","1.0261","1.0292"
01/14/2025,"1.0243","1.0311","1.0239","1.0309"
01/13/2025,"1.0258","1.0258","1.0179","1.0246"
01/10/2025,"1.0301","1.0341","1.0216","1.0255"
01/09/2025,"1.0318","1.0324","1.0285","1.0302"
01/08/2025,"1.0345","1.0360","1.0275","1.0320"
01/07/2025,"1.0389","1.0437","1.0340","1.0342"
01/06/2025,"1.0315","1.0437","1.0296","1.0391"
01/03/2025,"1.0269","1.0312","1.0257","1.0309"
01/02/2025,"1.0356","1.0391","1.0230","1.0267"
01/01/2025,"1.0357","1.0364","1.0352","1.0360"
12/31/2024,"1.0409","1.0426","1.0345","1.0356"
12/30/2024,"1.0427","1.0460","1.0373","1.0408"
12/27/2024,"1.0420","1.0446","1.0406","1.0428"
12/26/2024,"1.0407","1.0432","1.0382","1.0425"
12/25/2024,"1.0402","1.0413","1.0398","1.0411"
12/24/2024,"1.0406","1.0414","1.0384","1.0401"
12/23/2024,"1.0434","1.0449","1.0385","1.0407"
12/20/2024,"1.0364","1.0450","1.0343","1.0430"
12/19/2024,"1.0357","1.0430","1.0332","1.0363"
12/18/2024,"1.0492","1.0516","1.0345","1.0356"
12/17/2024,"1.0513","1.0536","1.0479","1.0493"
12/16/2024,"1.0502","1.0527","1.0476","1.0514"
12/13/2024,"1.0469","1.0526","1.0454","1.0503"
12/12/2024,"1.0496","1.0533","1.0465","1.0467"
12/11/2024,"1.0529","1.0542","1.0481","1.0498"
12/10/2024,"1.0555","1.0570","1.0499","1.0530"
12/09/2024,"1.0577","1.0597","1.0533","1.0556"
12/06/2024,"1.0587","1.0630","1.0543","1.0569"
12/05/2024,"1.0511","1.0592","1.0508","1.0590"
12/04/2024,"1.0509","1.0545","1.0473","1.0512"
12/03/2024,"1.0500","1.0537","1.0481","1.0510"
12/02/2024,"1.0581","1.0581","1.0462","1.0499"
11/29/2024,"1.0552","1.0599","1.0530","1.0580"
11/28/2024,"1.0567","1.0573","1.0529","1.0555"
11/27/2024,"1.0488","1.0590","1.0475","1.0569"
11/26/2024,"1.0495","1.0547","1.0426","1.0491"
11/25/2024,"1.0418","1.0532","1.0418","1.0498"
11/22/2024,"1.0476","1.0501","1.0336","1.0427"
11/21/2024,"1.0544","1.0557","1.0463","1.0474"
11/20/2024,"1.0595","1.0612","1.0508","1.0546"
11/19/2024,"1.0600","1.0605","1.0526","1.0597"
11/18/2024,"1.0548","1.0610","1.0531","1.0599"
11/15/2024,"1.0532","1.0595","1.0517","1.0541"
11/14/2024,"1.0567","1.0585","1.0499","1.0531"
11/13/2024,"1.0625","1.0656","1.0557","1.0565"
11/12/2024,"1.0655","1.0666","1.0595","1.0624"
11/11/2024,"1.0725","1.0730","1.0629","1.0656"
11/08/2024,"1.0806","1.0810","1.0688","1.0720"
11/07/2024,"1.0730","1.0828","1.0713","1.0804"
11/06/2024,"1.0931","1.0941","1.0684","1.0731"
11/05/2024,"1.0880","1.0939","1.0873","1.0932"
11/04/2024,"1.0882","1.0917","1.0870","1.0879"
